GEOID20,District
131819702001017,10
131819702001018,10
131819702001019,10
131819702001021,10
131819702001022,10
131819702001024,10
131819702001026,10
131819702001027,10
131819702001028,10
131819702001029,10
131819702001030,10
131819702001031,10
131819702001039,10
131819702001054,10
131819702001055,10
131819702001056,10
131819702001057,10
131819702001058,10
131819702003023,10
131819702003024,10
131819702003025,10
131819702003026,10
131819702003028,10
131819702003043,10
131819702003044,10
131819702003045,10
131819702003046,10
131819702003054,10
131819702001000,10
131819702001002,10
131819702001003,10
131819702001005,10
131819702001006,10
131819702001007,10
131819702001008,10
131819702001009,10
131819702001010,10
131819702001011,10
131819702001012,10
131819702001013,10
131819702001014,10
131819702001015,10
131819702001020,10
131819702001023,10
131819702001025,10
131819702001032,10
131819702001033,10
131819702001034,10
131819702001035,10
131819702001036,10
131819702001037,10
131819702001038,10
131819702001059,10
131819702001060,10
131819702002000,10
131819702002001,10
131819702002002,10
131819702002003,10
131819702002004,10
131819702002005,10
131819702002006,10
131819702002007,10
131819702002008,10
131819702002009,10
131819702002010,10
131819702002013,10
131819702002014,10
131819702002015,10
131819702002016,10
131819702002017,10
131819702002018,10
131819702002019,10
131819702002020,10
131819702002021,10
131819702002022,10
131819702002023,10
131819702002025,10
131819702002026,10
131819702002027,10
131819702002028,10
131819702002029,10
131819702002030,10
131819702003009,10
131819702003012,10
131819702003013,10
131819702003014,10
131819702003015,10
131819702003016,10
131819702003017,10
131819702003018,10
131819702003019,10
131819702003020,10
131819702003021,10
131819702003022,10
131819702003047,10
131819702003048,10
131819701001001,10
131819701001002,10
131819701001003,10
131819701001004,10
131819701001005,10
131819701001006,10
131819701001011,10
131819701001034,10
131819701001035,10
131819701001036,10
131819701001039,10
131819701001040,10
131819701002000,10
131819701002001,10
131819701002002,10
131819701002003,10
131819701002004,10
131819701002005,10
131819701002006,10
131819701002007,10
131819701002008,10
131819701002009,10
131819701002010,10
131819701002011,10
131819701002012,10
131819701002013,10
131819701002014,10
131819701002015,10
131819701002016,10
131819701002017,10
131819701002018,10
131819701002019,10
131819701002020,10
131819701002021,10
131819701002022,10
131819701002023,10
131819701002024,10
131819701002025,10
131819701002026,10
131819701002027,10
131819701002028,10
131819701002029,10
131819701002030,10
131819701002031,10
131819701002032,10
131819701002033,10
131819701002034,10
131819701002035,10
131819701002036,10
131819701002037,10
131819701002038,10
131819701002039,10
131819701002040,10
131819701002041,10
131819701002042,10
131819701002043,10
131819701002044,10
131819701002045,10
131819701002046,10
131819701002047,10
131819701002048,10
131819701002049,10
131819701002050,10
131819701002051,10
131819701002052,10
131819701002053,10
131819701002054,10
131819701002055,10
131819701002056,10
131819701002057,10
131819701002058,10
131819701002059,10
131819701002060,10
131819701002061,10
131819701002062,10
131819701002063,10
131819701002064,10
131819701002065,10
131819701002066,10
131819701002067,10
131819701002068,10
131819701002069,10
131819701002070,10
131819701002071,10
131819701002072,10
131819701002073,10
131819701002074,10
131819701002075,10
131819701002076,10
131819701002077,10
131819701002078,10
131819701002079,10
131819701002080,10
131819701002081,10
131819701002082,10
131819701002083,10
131819701002084,10
131819701002085,10
131819701002086,10
131819701002087,10
131819701002088,10
131819701002089,10
131819701001032,10
131819701001033,10
131819701001037,10
131819701001038,10
131819701001042,10
131819701001043,10
131819701001044,10
131819701001045,10
131819701001046,10
131819701001047,10
131819701001053,10
131819701001054,10
131819701001055,10
131819701001056,10
131819701001057,10
131819701001058,10
131819701001059,10
131819701001061,10
131819701001064,10
131819701001065,10
131819701001066,10
131819701001068,10
131819701001074,10
131819701001075,10
131819701001076,10
131819701001077,10
